,Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,year_only,number_of_days
0,Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,1980-04-17,2678.6,7,1980,7
1,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2177.2,13,1980,4
2,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,1980-11-30,39579.0,1260,1980,182
3,Florida Freeze (January 1981),Freeze,1981-01-12,1981-01-14,2019.2,0,1981,2
4,"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,1981-05-10,1372.9,20,1981,5
5,"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,1982-01-16,2158.1,85,1982,8
6,Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,1982-04-04,1565.6,33,1982,2
7,Severe Storms (June 1982),Severe Storm,1982-05-31,1982-06-10,1540.5,30,1982,10
8,Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,1983-01-15,4807.9,45,1982,45
9,Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,1983-03-31,4693.8,50,1982,108
10,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9180.0,21,1983,3
11,Southeast Drought (Summer 1983),Drought,1983-06-01,1983-08-31,9307.3,0,1983,91
12,Arizona Flooding (October 1983),Flooding,1983-09-29,1983-10-03,1220.0,14,1983,4
13,Freeze / Cold Wave (December 1983),Freeze,1983-12-15,1983-12-25,6298.3,151,1983,10
14,"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,1984-04-07,1803.7,80,1984,11
15,Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,1984-06-17,1320.8,1,1984,4
16,"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-19,1985-01-22,2435.8,150,1985,3
17,Florida Freeze (January 1985),Freeze,1985-01-20,1985-01-22,3492.0,0,1985,2
18,Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,1985-05-31,1710.1,89,1985,0
19,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3684.6,4,1985,4
20,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2431.5,11,1985,2
21,Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,1985-10-31,4220.7,63,1985,4
22,"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11-03,1985-11-08,3948.0,62,1985,5
23,Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02-14,1986-02-16,1488.8,13,1986,2
24,Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06-01,1986-08-31,5050.2,100,1986,91
25,Michigan Flooding (September 1986),Flooding,1986-09-10,1986-09-12,1116.0,10,1986,2
26,U.S. Drought/Heat Wave (Summer 1988),Drought,1988-06-01,1988-08-31,53010.4,454,1988,91
27,Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05-01,1989-05-06,1367.6,21,1989,5
28,Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-26,1989-06-28,1445.0,11,1989,2
29,Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-21,1989-09-22,22139.8,86,1989,1
30,Northern Plains Drought (Summer-Fall 1989),Drought,1989-06-01,1989-11-30,7628.1,0,1989,182
31,Florida Freeze (December 1989),Freeze,1989-12-23,1989-12-25,5080.0,10,1989,2
32,"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989-12-21,1989-12-26,1652.7,100,1989,5
33,Southern Flooding (May 1990),Flooding,1990-05-11,1990-05-19,2396.3,13,1990,8
34,Colorado Hail Storm (July 1990),Severe Storm,1990-07-11,1990-07-11,1927.1,0,1990,0
35,Western Fire Season (Summer 1990),Wildfire,1990-06-01,1990-08-31,1666.1,17,1990,91
36,California Freeze (December 1990),Freeze,1990-12-18,1990-12-25,8194.0,0,1990,7
37,"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991-03-26,1991-03-29,1464.0,0,1991,3
38,Hurricane Bob (August 1991),Tropical Cyclone,1991-08-18,1991-08-20,3381.6,18,1991,2
39,U.S. Drought (Spring-Summer 1991),Drought,1991-03-01,1991-08-31,6859.4,0,1991,183
40,Oakland Firestorm (October 1991),Wildfire,1991-10-01,1991-10-31,7359.0,25,1991,30
41,Severe Storms (March 1992),Severe Storm,1992-03-24,1992-03-25,1769.5,0,1992,1
42,"Hail, Tornadoes (April 1992)",Severe Storm,1992-04-28,1992-04-29,2099.7,0,1992,1
43,"Severe Storms, Hail (June 1992)",Severe Storm,1992-06-19,1992-06-20,1638.1,0,1992,1
44,Hurricane Andrew (August 1992),Tropical Cyclone,1992-08-23,1992-08-27,58860.0,61,1992,4
45,Hurricane Iniki (September 1992),Tropical Cyclone,1992-09-11,1992-09-12,6727.0,7,1992,1
46,Southeast Severe Weather (November 1992),Severe Storm,1992-11-21,1992-11-23,1418.9,26,1992,2
47,Northeast Winter Storm (December 1992),Winter Storm,1992-12-10,1992-12-13,5363.3,19,1992,3
48,East Coast Blizzard and Severe Weather (March 1993),Winter Storm,1993-03-11,1993-03-14,11883.3,270,1993,3
49,Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,1993-07-08,1993-07-10,1371.7,1,1993,2
50,Midwest Flooding (Summer 1993),Flooding,1993-06-27,1993-08-15,45065.9,48,1993,49
51,Southeast Drought and Heat Wave (Summer 1993),Drought,1993-06-01,1993-08-31,2704.8,16,1993,91
52,California Wildfires (Fall 1993),Wildfire,1993-09-01,1993-11-30,2907.6,4,1993,90
53,"Winter Storm, Cold Wave (January 1994)",Winter Storm,1994-01-17,1994-01-20,2184.5,70,1994,3
54,Southeast Ice Storm (February 1994),Winter Storm,1994-02-08,1994-02-13,6264.7,9,1994,5
55,Midwest/Plains Tornadoes (April 1994),Severe Storm,1994-04-25,1994-04-27,2048.9,3,1994,2
56,Tropical Storm Alberto (July 1994),Tropical Cyclone,1994-07-07,1994-07-10,2066.9,32,1994,3
57,Texas Flooding (October 1994),Flooding,1994-10-16,1994-10-25,2050.0,19,1994,9
58,Western Fire Season (Summer-Fall 1994),Wildfire,1994-06-01,1994-11-30,1500.9,0,1994,182
59,California Flooding (January-March 1995),Flooding,1995-01-01,1995-03-31,5100.0,27,1995,89
60,Texas Hail Storm (April 1995),Severe Storm,1995-04-28,1995-04-28,1161.5,0,1995,0
61,South Plains Severe Weather (May 1995),Severe Storm,1995-05-05,1995-05-07,11082.7,32,1995,2
62,Hurricane Erin (August 1995),Tropical Cyclone,1995-08-01,1995-08-07,1708.5,6,1995,6
63,Hurricane Marilyn (September 1995),Tropical Cyclone,1995-09-15,1995-09-17,4200.0,13,1995,2
64,"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,1995-07-01,1995-09-30,1968.0,872,1995,91
65,Hurricane Opal (October 1995),Tropical Cyclone,1995-10-04,1995-10-06,9378.0,27,1995,2
66,Blizzard/Floods (January 1996),Winter Storm,1996-01-01,1996-01-31,5976.1,187,1996,30
67,Pacific Northwest Severe Flooding (February 1996),Flooding,1996-02-07,1996-02-12,2006.5,9,1996,5
68,Southern Plains Drought (Spring-Summer 1996),Drought,1996-03-01,1996-08-31,3565.0,0,1996,183
69,Hurricane Fran (September 1996),Tropical Cyclone,1996-09-05,1996-09-08,9763.8,37,1996,3
70,New England Flooding (October 1996),Flooding,1996-10-19,1996-10-22,1318.3,1,1996,3
71,West Coast Flooding (December 1996-January 1997),Flooding,1997-01-01,1997-01-11,5822.8,36,1997,10
72,Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997-02-28,1997-03-05,1877.0,67,1997,5
73,Northern Plains Flooding (Spring 1997),Flooding,1997-02-03,1997-05-24,7058.8,11,1997,110
74,Northeast Ice Storm (January 1998),Winter Storm,1998-01-05,1998-01-09,2663.4,16,1998,4
75,Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1997-12-01,1998-02-28,1908.5,132,1997,89
76,Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998-05-15,1998-05-15,3083.1,1,1998,0
77,"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,1998-05-30,1998-06-02,2151.7,20,1998,3
78,Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,1998-06-20,1998-06-24,1680.7,12,1998,4
79,Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-08,1998-08-13,1316.0,2,1998,5
80,Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-27,1998-08-29,1842.4,3,1998,2
81,Southern Drought and Heat Wave (Summer 1998),Drought,1998-06-01,1998-08-31,6703.3,200,1998,91
82,Hurricane Georges (September 1998),Tropical Cyclone,1998-09-20,1998-09-29,11250.9,16,1998,9
83,Texas Flooding (October 1998),Flooding,1998-10-16,1998-10-24,1761.7,31,1998,8
84,California Freeze (December 1998),Freeze,1998-12-20,1998-12-28,4750.0,0,1998,8
85,Central and Eastern Winter Storm (January 1999),Winter Storm,1999-01-01,1999-01-04,1930.6,25,1999,3
86,Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999-01-13,1999-01-16,1649.4,0,1999,3
87,Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999-05-03,1999-05-06,3722.6,55,1999,3
88,Eastern Drought/Heat Wave (Summer 1999),Drought,1999-06-01,1999-08-31,4673.1,502,1999,91
89,Hurricane Floyd (September 1999),Tropical Cyclone,1999-09-14,1999-09-16,11878.5,77,1999,2
90,Southeast Winter Storm (January 2000),Winter Storm,2000-01-21,2000-01-24,1284.9,4,2000,3
91,Southern Severe Weather (March 2000),Severe Storm,2000-03-28,2000-03-29,1235.1,0,2000,1
92,Western Fire Season (Spring-Summer 2000),Wildfire,2000-03-01,2000-08-31,1924.4,0,2000,183
93,South Florida Flooding (October 2000),Flooding,2000-10-03,2000-10-04,1584.0,3,2000,1
94,Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000-03-01,2000-11-30,9094.9,140,2000,274
95,Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001-04-06,2001-04-11,5385.2,3,2001,5
96,North Central Severe Weather (May 2001),Severe Storm,2001-04-30,2001-05-01,1167.6,0,2001,1
97,Tropical Storm Allison (June 2001),Tropical Cyclone,2001-06-05,2001-06-17,14743.1,43,2001,12
98,Severe Storms and Tornadoes (April 2002),Severe Storm,2002-04-27,2002-04-28,3580.3,7,2002,1
99,Hurricane Lili (October 2002),Tropical Cyclone,2002-08-01,2002-08-05,1877.7,2,2002,4
100,Tropical Storm Isidore (September 2002),Tropical Cyclone,2002-09-25,2002-09-27,1955.0,5,2002,2
101,Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002-11-09,2002-11-11,1216.9,28,2002,2
102,Western Fire Season (Fall 2002),Wildfire,2002-09-01,2002-11-30,2248.8,21,2002,90
103,U.S. Drought (Spring-Fall 2002),Drought,2002-03-01,2002-11-30,15581.1,0,2002,274
104,Severe Storms/Hail (April 2003),Severe Storm,2003-04-04,2003-04-07,3350.5,3,2003,3
105,Severe Storms/Tornadoes (May 2003),Severe Storm,2003-05-03,2003-05-10,6894.4,51,2003,7
106,Midwest/Plains Severe Weather (July 2003),Severe Storm,2003-07-04,2003-07-09,1433.0,7,2003,5
107,Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,2003-07-21,2003-07-23,1683.8,7,2003,2
108,Hurricane Isabel (September 2003),Tropical Cyclone,2003-09-18,2003-09-19,9103.5,55,2003,1
109,Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,2003-03-01,2003-11-30,8480.1,35,2003,274
110,California Wildfires (Fall 2003),Wildfire,2003-09-01,2003-11-30,6458.1,22,2003,90
111,"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,2004-05-21,2004-05-27,1642.7,4,2004,6
112,Colorado Hail Storms (June 2004),Severe Storm,2004-06-08,2004-06-09,1125.9,0,2004,1
113,Hurricane Charley (August 2004),Tropical Cyclone,2004-08-13,2004-08-14,25919.2,35,2004,1
114,Hurricane Frances (September 2004),Tropical Cyclone,2004-09-03,2004-09-09,15876.0,48,2004,6
115,Hurricane Ivan (September 2004),Tropical Cyclone,2004-09-12,2004-09-21,33211.0,57,2004,9
116,Hurricane Jeanne (September 2004),Tropical Cyclone,2004-09-15,2004-09-29,12144.6,28,2004,14
117,Southeast Severe Weather (March 2005),Severe Storm,2005-03-24,2005-03-27,1375.4,0,2005,3
118,Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,2005-07-11,3917.1,15,2005,2
119,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,2005-08-30,195046.1,1833,2005,5
120,Midwest Drought (Spring-Summer 2005),Drought,2005-03-01,2005-08-31,2374.6,0,2005,183
121,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,2005-09-24,28490.1,119,2005,4
122,Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,2005-10-24,29260.0,35,2005,0
123,Severe Storms and Tornadoes (March 2006),Severe Storm,2006-03-08,2006-03-13,2059.9,10,2006,5
124,"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006-04-06,2006-04-08,2437.8,10,2006,2
125,Midwest Tornadoes (April 2006),Severe Storm,2006-04-13,2006-04-16,3683.8,27,2006,3
126,Northeast Flooding (June 2006),Flooding,2006-06-25,2006-06-28,2297.7,20,2006,3
127,North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006-08-23,2006-08-24,1146.2,1,2006,1
128,Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006-03-01,2006-08-31,9296.7,0,2006,183
129,Central Severe Weather (October 2006),Severe Storm,2006-10-02,2006-10-05,1336.1,1,2006,3
130,Numerous Wildfires (2006),Wildfire,2006-01-01,2006-12-31,2273.8,28,2006,364
131,California Freeze (January 2007),Freeze,2007-01-11,2007-01-17,2128.0,1,2007,6
132,Spring Freeze (April 2007),Freeze,2007-04-04,2007-04-10,3107.0,0,2007,6
133,East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,2007-04-17,3736.7,9,2007,4
134,Western Wildfires (Summer 2007),Wildfire,2007-06-01,2007-08-31,4029.7,12,2007,91
135,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,2007-11-30,5378.0,15,2007,182
136,"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008-01-04,2008-01-09,1424.2,12,2008,5
137,Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,2008-02-06,1756.9,57,2008,1
138,Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,2008-03-15,1628.6,5,2008,1
139,Southern Severe Weather (April 2008),Severe Storm,2008-04-09,2008-04-11,1486.7,2,2008,2
140,Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,2008-05-27,4301.9,13,2008,5
141,Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,2008-06-12,2290.3,18,2008,6
142,Midwest Flooding (Summer 2008),Flooding,2008-04-01,2008-06-30,14439.8,24,2008,90
143,Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,2008-07-25,1774.2,3,2008,2
144,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,2008-09-03,8395.8,53,2008,3
145,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,2008-09-14,41998.3,112,2008,2
146,U.S. Wildfires (Fall 2008),Wildfire,2008-09-01,2008-11-30,1727.7,16,2008,90
147,U.S. Drought (2008),Drought,2008-01-01,2008-12-31,10164.6,0,2008,365
148,Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,2009-02-11,2523.4,10,2009,1
149,Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,2009-03-28,2362.3,0,2009,3
150,South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,2059.3,6,2009,1
151,Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,2009-05-09,1239.8,7,2009,2
152,"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-09,2009-06-12,1885.8,0,2009,3
153,Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,2009-07-20,1430.0,0,2009,0
154,Georgia Flooding (September 2009),Flooding,2009-09-19,2009-09-22,1275.9,10,2009,3
155,Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,2009-11-30,1436.8,10,2009,182
156,Southwest/Great Plains Drought (2009),Drought,2009-01-01,2009-12-31,5063.4,0,2009,364
157,Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,2010-02-11,1160.2,3,2010,2
158,Northeast Flooding (March 2010),Flooding,2010-03-01,2010-03-31,2618.9,11,2010,30
159,East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,2010-05-02,3218.0,32,2010,2
160,"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-10,2010-05-12,4700.7,3,2010,2
161,Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,2010-06-15,1270.5,2,2010,5
162,Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,2010-07-23,1337.2,0,2010,3
163,Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,2010-10-06,5320.0,0,2010,1
164,Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2011-02-03,2493.9,36,2011,2
165,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,2011-04-05,3802.1,9,2011,1
166,Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,2011-04-11,2985.6,0,2011,3
167,Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2011-04-16,2821.1,38,2011,2
168,Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,2011-04-20,1421.4,0,2011,1
169,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,2011-04-28,14004.1,321,2011,3
170,Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,2011-05-27,12371.7,177,2011,5
171,Mississippi River flooding (April-May 2011),Flooding,2011-04-01,2011-05-31,4150.5,7,2011,60
172,Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2011-06-22,2090.6,3,2011,4
173,Missouri River flooding (May-June 2011),Flooding,2011-05-01,2011-06-30,2783.3,5,2011,60
174,"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,2011-07-01,1207.7,0,2011,0
175,"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-10,2011-07-11,1679.6,2,2011,1
176,"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-17,2011-08-18,1566.0,0,2011,1
177,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,18351.9,45,2011,2
178,Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,2011-08-31,16631.1,95,2011,183
179,Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,3392.1,21,2011,4
180,Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,2011-10-30,1258.1,1,2011,1
181,"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-06-01,2011-11-30,2476.2,5,2011,182
182,Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,2012-03-03,4192.7,42,2012,1
183,Texas Tornadoes (April 2012),Severe Storm,2012-04-02,2012-04-03,1350.3,0,2012,1
184,Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,2012-04-14,1494.4,6,2012,1
185,Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,2012-05-01,4357.4,1,2012,3
186,Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,2012-05-30,3087.0,1,2012,5
187,Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,2012-06-12,3481.0,0,2012,6
188,Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,2012-07-02,3870.6,28,2012,3
189,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,3675.4,9,2012,5
190,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,86502.7,159,2012,1
